"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4622","testFirstResultContainsWitcher()","","Thu Jan 22 13:34:12 UTC 2026","broken","Thu Jan 22 13:34:17 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","12655","testClickFirstGameInSwiper()","","Thu Jan 22 13:33:34 UTC 2026","broken","Thu Jan 22 13:33:47 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","4739","testSearchCyberpunk()","","Thu Jan 22 13:34:07 UTC 2026","passed","Thu Jan 22 13:34:12 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","4919","testFilterGoodOldGames()","","Thu Jan 22 13:33:47 UTC 2026","passed","Thu Jan 22 13:33:52 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","3567","testHomePageChangeLanguageToEn()","","Thu Jan 22 13:33:31 UTC 2026","passed","Thu Jan 22 13:33:34 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4386","testSearchBindingOf()","","Thu Jan 22 13:34:17 UTC 2026","passed","Thu Jan 22 13:34:21 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","11232","testSliderLeft()","","Thu Jan 22 13:33:17 UTC 2026","passed","Thu Jan 22 13:33:29 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","15152","testResetFilters()","","Thu Jan 22 13:33:52 UTC 2026","broken","Thu Jan 22 13:34:07 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","2207","testHomePageIsDisplayed()","","Thu Jan 22 13:33:29 UTC 2026","passed","Thu Jan 22 13:33:31 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","976","contextLoads()","","Thu Jan 22 13:33:16 UTC 2026","passed","Thu Jan 22 13:33:17 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
