"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Home action","1","0","Accès à la page d'accueil","0"
"0","","0","Search action","1","0","Utilisation des filtres de recherche","0"
"1","","0","Search action","0","0","Réinitialisation des filtres","0"
"0","","0","Search action","1","0","Recherche simple par nom","0"
"0","","0","Home action","1","0","Gestion de la langue (Internationalisation)","0"
"1","","0","Search action","0","0","Pertinence des résultats de recherche","0"
"1","","0","Home action","0","0","Navigation vers une fiche jeu","0"
"0","","0","Home action","1","0","Interaction avec le Carrousel (Slider)","0"
"1","","0","Home action","0","0","Navigation vers la page Recrutement","0"
"0","","0","","1","0","","0"
"0","","0","Search action","1","0","Recherche par mots-clés partiels","0"
